"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2011 Magento演示商店。 版权所有。"
"(Shift-)Click or drag to change value","(Shift-)点击（Click）或拖弋（drag）以更换值"
"(ver. %s)","（版本 %s）"
"- Click on any of the time parts to increase it","- 点击任何时间部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 点按鼠标纽于上面任何按钮以加速选择。"
"- Use the %s buttons to select month","- 使用 %s 按钮以选择月份。"
"- Use the %s, %s buttons to select year","- 使用 %s 和 %s 按钮以选择年份。"
"- or Shift-click to decrease it","- 或同时按下Shift健和按鼠标纽（Shift-click）以减少选择。"
"- or click and drag for faster selection.","-或点击（Click）和拖弋（drag）以以加速选择。"
"About the calendar","日历器"
"Click <a href=""%s"">here</a> if nothing has happened","若没动静， <a href=""%s"">点击这里</a>。"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 日期/时间选择"
"Date selection:","日期选择:"
"Default Description","默认描述"
"Default welcome msg!","默认欢迎信息!"
"Display %s first","现显示 %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","拖弋移动"
"For latest version visit: %s","最新版本请拜访: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Interface Language","语言界面"
"Items %s to %s of %s total","%s至%s之%s件商品"
"Next Page","下一页"
"Next month (hold for menu)","下个月（点击鼠标直到菜单出现）"
"Next year (hold for menu)","明年（点击鼠标直到菜单出现）"
"Page:","页："
"Prev. month (hold for menu)","上个月（点击鼠标直到菜单出现）"
"Prev. year (hold for menu)","前年（点击鼠标直到菜单出现）"
"Previous Page","上一页"
"Redirecting...","跳转至..."
"Report All Bugs","报告所有错误。"
"Select Store","选择商店"
"Select date","选择日期"
"Show","显示"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","转到主页眉"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有的订单将不受理。"
"Time selection:","时间选择:"
"Time:","时间:"
"Welcome, %s!","欢迎%s!"
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","您的语言:"
"per page","件"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"

"Tops","顶部"
"Bottoms","下装"
"Accessories","配件"
"New Arrivals","New Arrivals"
"Brand list","厂家一览"
"Inquiries","咨询"
"Send your inquiries by using the form below.","请在以下表格中输入咨询内容，然后发送表格。"
"* Mandatory Fields","* 必须输入项目"

"Pure blue Japan was started for the original denim lover. They use pure indigo dye as well as natural plant indigo in the production of their denim.","设计师自己想在付也钱穿的西服"
"Skull jeans produce  beautiful silhouette jeans.","提出使之感到人的手的温暖的东西制作作为主题，人影把漂亮的牛仔裤作为擅长锁感满怀的牛仔裤"
"Momotaro Jeans uses only the best raw materials and dyes the cotton yarn with natural indigo blue to weave high quality denim on its vintage weaving machines all by hand.","对没有穿的那样产生留恋变得能卖掉的人生的伙伴"
"Handmaid wallte by the first-class craftsman group who produces the leather products which adhered to perfection until it resulted in a material, a design, a function, and sewing.","素材，设计，功能，由生出及至缝制完美地拘泥的皮革产品的第一流的手艺人集体的手工钱包"
"Highest-class stylish new jeans maker Japan Blue consists of Textile Company which got to know everything about materials.","知道竭尽质地的纺织品公司亲自动手的最高级的时髦NEW牛仔裤制造厂JAPANBLUE."
"Full Count uses highest-class natural material Zimbabwe cotton.　Lots of JP men is fascinated with their products.","使用最高級的天然素材津巴布韋棉穿著的感覺，耐久性，追求吸收性．親自動手穿的那樣人們奪人魂魄的牛仔褲．"
"Log In","登录"
"Checkout","结帐"
